wl,n
1.90782,2.70358
1.91082,2.71035
1.91383,2.71712
1.91683,2.72389
1.91984,2.73067
1.92285,2.73746
1.92585,2.74425
1.92886,2.75104
1.93186,2.75785
1.93487,2.76465
1.93788,2.77147
1.94088,2.77829
1.94389,2.78511
1.94689,2.79194
1.94990,2.79878
1.95291,2.80562
1.95591,2.81247
1.95892,2.81933
1.96192,2.82619
1.96493,2.83306
1.96794,2.83993
1.97094,2.84681
1.97395,2.85370
1.97695,2.86059
1.97996,2.86749
1.98297,2.87440
1.98597,2.88131
1.98898,2.88824
1.99198,2.89516
1.99499,2.90210
1.99800,2.90904
2.00100,2.91599
2.00401,2.92294
2.00701,2.92991
2.01002,2.93688
2.01303,2.94386
2.01603,2.95084
2.01904,2.95784
2.02204,2.96484
2.02505,2.97184
2.02806,2.97886
2.03106,2.98588
2.03407,2.99291
2.03707,2.99995
2.04008,3.00700
2.04309,3.01405
2.04609,3.02112
2.04910,3.02819
2.05210,3.03527
2.05511,3.04236
2.05812,3.04945
2.06112,3.05655
2.06413,3.06367
2.06713,3.07079
2.07014,3.07792
2.07315,3.08506
2.07615,3.09220
2.07916,3.09936
2.08216,3.10652
2.08517,3.11369
2.08818,3.12088
2.09118,3.12807
2.09419,3.13527
2.09719,3.14248
2.10020,3.14969
2.10321,3.15692
2.10621,3.16416
2.10922,3.17140
2.11222,3.17866
2.11523,3.18592
2.11824,3.19320
2.12124,3.20048
2.12425,3.20778
2.12725,3.21508
2.13026,3.22239
2.13327,3.22971
2.13627,3.23705
2.13928,3.24439
2.14228,3.25174
2.14529,3.25910
2.14830,3.26648
2.15130,3.27386
2.15431,3.28125
2.15731,3.28866
2.16032,3.29607
2.16333,3.30349
2.16633,3.31093
2.16934,3.31837
2.17234,3.32583
2.17535,3.33330
2.17836,3.34077
2.18136,3.34826
2.18437,3.35576
2.18737,3.36327
2.19038,3.37079
2.19339,3.37832
2.19639,3.38586
2.19940,3.39342
2.20240,3.40098
2.20541,3.40856
2.20842,3.41615
2.21142,3.42374
2.21443,3.43135
2.21743,3.43898
2.22044,3.44661
2.22345,3.45426
2.22645,3.46191
2.22946,3.46958
2.23246,3.47726
2.23547,3.48495
2.23848,3.49266
2.24148,3.50037
2.24449,3.50810
2.24749,3.51584
2.25050,3.52359
2.25351,3.53136
2.25651,3.53914
2.25952,3.54692
2.26253,3.55473
2.26553,3.56254
2.26854,3.57037
2.27154,3.57821
2.27455,3.58606
2.27756,3.59392
2.28056,3.60180
2.28357,3.60969
2.28657,3.61759
2.28958,3.62551
2.29259,3.63344
2.29559,3.64138
2.29860,3.64934
2.30160,3.65731
2.30461,3.66529
2.30762,3.67328
2.31062,3.68129
2.31363,3.68931
2.31663,3.69735
2.31964,3.70540
2.32265,3.71346
2.32565,3.72154
2.32866,3.72963
2.33166,3.73773
2.33467,3.74585
2.33768,3.75398
2.34068,3.76213
2.34369,3.77029
2.34669,3.77846
2.34970,3.78665
2.35271,3.79485
2.35571,3.80307
2.35872,3.81130
2.36172,3.81955
2.36473,3.82781
2.36774,3.83608
2.37074,3.84437
2.37375,3.85268
2.37675,3.86100
2.37976,3.86933
2.38277,3.87768
2.38577,3.88604
2.38878,3.89442
2.39178,3.90282
2.39479,3.91123
2.39780,3.91965
2.40080,3.92809
2.40381,3.93654
2.40681,3.94501
2.40982,3.95350
2.41283,3.96200
2.41583,3.97052
2.41884,3.97905
2.42184,3.98760
2.42485,3.99616
2.42786,4.00474
2.43086,4.01334
2.43387,4.02195
2.43687,4.03058
2.43988,4.03922
2.44289,4.04788
2.44589,4.05656
2.44890,4.06525
2.45190,4.07396
2.45491,4.08269
2.45792,4.09143
2.46092,4.10018
2.46393,4.10893
2.46693,4.11769
2.46994,4.12642
2.47295,4.13508
2.47595,4.14363
2.47896,4.15196
2.48196,4.15995
2.48497,4.16743
2.48798,4.17418
2.49098,4.17996
2.49399,4.18453
2.49699,4.18768
2.50000,4.18922

wl,k
0.21000,0.00000
0.21158,0.00000
0.21317,0.00000
0.21475,0.00000
0.21633,0.00000
0.21792,0.00000
0.21950,0.00000
0.22108,0.00000
0.22267,0.00000
0.22425,0.00000
0.22583,0.00000
0.22741,0.00000
0.22900,0.00000
0.23058,0.00000
0.23216,0.00000
0.23375,0.00000
0.23533,0.00000
0.23691,0.00000
0.23850,0.00000
0.24008,0.00000
0.24166,0.00000
0.24325,0.00001
0.24483,0.00003
0.24641,0.00000
0.24800,0.00010
0.24958,0.00136
0.25116,0.00373
0.25275,0.00721
0.25433,0.01178
0.25591,0.01742
0.25749,0.02411
0.25908,0.03185
0.26066,0.04061
0.26224,0.05038
0.26383,0.06114
0.26541,0.07288
0.26699,0.08559
0.26858,0.09924
0.27016,0.11383
0.27174,0.12933
0.27333,0.14573
0.27491,0.16302
0.27649,0.18118
0.27808,0.20019
0.27966,0.22004
0.28124,0.24072
0.28283,0.26221
0.28441,0.28448
0.28599,0.30754
0.28758,0.33135
0.28916,0.35592
0.29074,0.38121
0.29232,0.40722
0.29391,0.43393
0.29549,0.46133
0.29707,0.48939
0.29866,0.51811
0.30024,0.54746
0.30182,0.57744
0.30341,0.60802
0.30499,0.63920
0.30657,0.67095
0.30816,0.70326
0.30974,0.73612
0.31132,0.76951
0.31291,0.80341
0.31449,0.83781
0.31607,0.87270
0.31766,0.90805
0.31924,0.94385
0.32082,0.98010
0.32240,1.01676
0.32399,1.05383
0.32557,1.09129
0.32715,1.12912
0.32874,1.16732
0.33032,1.20585
0.33190,1.24472
0.33349,1.28390
0.33507,1.32338
0.33665,1.36314
0.33824,1.40316
0.33982,1.44344
0.34140,1.48395
0.34299,1.52469
0.34457,1.56563
0.34615,1.60675
0.34774,1.64805
0.34932,1.68951
0.35090,1.73112
0.35248,1.77285
0.35407,1.81469
0.35565,1.85663
0.35723,1.89865
0.35882,1.94073
0.36040,1.98286
0.36198,2.02503
0.36357,2.06722
0.36515,2.10941
0.36673,2.15159
0.36832,2.19375
0.36990,2.23586
0.37148,2.27791
0.37307,2.31988
0.37465,2.36177
0.37623,2.40356
0.37782,2.44522
0.37940,2.48675
0.38098,2.52812
0.38257,2.56933
0.38415,2.61036
0.38573,2.65119
0.38731,2.69181
0.38890,2.73220
0.39048,2.77234
0.39206,2.81223
0.39365,2.85184
0.39523,2.89116
0.39681,2.93017
0.39840,2.96886
0.39998,3.00722
0.40156,3.04522
0.40315,3.08286
0.40473,3.12011
0.40631,3.15696
0.40790,3.19340
0.40948,3.22941
0.41106,3.26497
0.41265,3.30008
0.41423,3.33470
0.41581,3.36884
0.41739,3.40247
0.41898,3.43557
0.42056,3.46814
0.42214,3.50016
0.42373,3.53160
0.42531,3.56246
0.42689,3.59272
0.42848,3.62237
0.43006,3.65138
0.43164,3.67975
0.43323,3.70746
0.43481,3.73449
0.43639,3.76082
0.43798,3.78645
0.43956,3.81135
0.44114,3.83552
0.44273,3.85893
0.44431,3.88157
0.44589,3.90342
0.44747,3.92448
0.44906,3.94471
0.45064,3.96412
0.45222,3.98267
0.45381,4.00038
0.45539,4.01758
0.45697,4.03475
0.45856,4.05190
0.46014,4.06893
0.46172,4.08588
0.46331,4.10276
0.46489,4.11955
0.46647,4.13626
0.46806,4.15288
0.46964,4.16943
0.47122,4.18590
0.47281,4.20228
0.47439,4.21859
0.47597,4.23481
0.47756,4.25095
0.47914,4.26702
0.48072,4.28300
0.48230,4.29890
0.48389,4.31473
0.48547,4.33047
0.48705,4.34614
0.48864,4.36172
0.49022,4.37723
0.49180,4.39266
0.49339,4.40801
0.49497,4.42328
0.49655,4.43848
0.49814,4.45360
0.49972,4.46864
0.50130,4.48360
0.50289,4.49849
0.50447,4.51331
0.50605,4.52805
0.50764,4.54271
0.50922,4.55731
0.51080,4.57183
0.51238,4.58628
0.51397,4.60065
0.51555,4.61496
0.51713,4.62920
0.51872,4.64337
0.52030,4.65747
0.52188,4.67150
0.52347,4.68547
0.52505,4.69937
0.52663,4.71321
0.52822,4.72699
0.52980,4.74070
0.53138,4.75434
0.53297,4.76793
0.53455,4.78145
0.53613,4.79492
0.53772,4.80832
0.53930,4.82167
0.54088,4.83495
0.54246,4.84818
0.54405,4.86136
0.54563,4.87447
0.54721,4.88753
0.54880,4.90054
0.55038,4.91349
0.55196,4.92639
0.55355,4.93923
0.55513,4.95203
0.55671,4.96477
0.55830,4.97746
0.55988,4.99010
0.56146,5.00269
0.56305,5.01523
0.56463,5.02772
0.56621,5.04016
0.56780,5.05256
0.56938,5.06491
0.57096,5.07721
0.57255,5.08946
0.57413,5.10167
0.57571,5.11384
0.57729,5.12596
0.57888,5.13804
0.58046,5.15007
0.58204,5.16206
0.58363,5.17401
0.58521,5.18592
0.58679,5.19778
0.58838,5.20960
0.58996,5.22139
0.59154,5.23313
0.59313,5.24483
0.59471,5.25650
0.59629,5.26813
0.59788,5.27971
0.59946,5.29126
0.60104,5.30278
0.60263,5.31425
0.60421,5.32569
0.60579,5.33710
0.60737,5.34846
0.60896,5.35980
0.61054,5.37110
0.61212,5.38236
0.61371,5.39359
0.61529,5.40479
0.61687,5.41595
0.61846,5.42708
0.62004,5.43818
0.62162,5.44924
0.62321,5.46028
0.62479,5.47128
0.62637,5.48226
0.62796,5.49320
0.62954,5.50411
0.63112,5.51499
0.63271,5.52585
0.63429,5.53667
0.63587,5.54747
0.63745,5.55824
0.63904,5.56898
0.64062,5.57969
0.64220,5.59037
0.64379,5.60103
0.64537,5.61166
0.64695,5.62227
0.64854,5.63285
0.65012,5.64340
0.65170,5.65393
0.65329,5.66443
0.65487,5.67491
0.65645,5.68537
0.65804,5.69580
0.65962,5.70621
0.66120,5.71659
0.66279,5.72695
0.66437,5.73729
0.66595,5.74761
0.66754,5.75790
0.66912,5.76818
0.67070,5.77843
0.67228,5.78866
0.67387,5.79887
0.67545,5.80906
0.67703,5.81922
0.67862,5.82937
0.68020,5.83950
0.68178,5.84961
0.68337,5.85970
0.68495,5.86977
0.68653,5.87982
0.68812,5.88986
0.68970,5.89987
0.69128,5.90987
0.69287,5.91985
0.69445,5.92982
0.69603,5.93976
0.69762,5.94969
0.69920,5.95961
0.70078,5.96950
0.70236,5.97938
0.70395,5.98925
0.70553,5.99910
0.70711,6.00893
0.70870,6.01875
0.71028,6.02856
0.71186,6.03835
0.71345,6.04813
0.71503,6.05789
0.71661,6.06764
0.71820,6.07737
0.71978,6.08709
